timestamp,state,x,y
1688627679605,1,-335.4763,282.5222,2
1688627679628,1,-332.1649,284.3463,0
1688627679628,1,-332.1649,284.3463,1
1688627679628,1,-332.1649,284.3463,2
1688627679648,0,-283.2529,297.418,0
1688627679648,0,-283.2529,297.418,1
1688627679648,0,-283.2529,297.418,2
1688627679670,0,-282.7072,295.1555,0
1688627679670,0,-282.7072,295.1555,1
1688627679670,0,-282.7072,295.1555,2
1688627679688,1,-302.9471,288.5807,0
1688627679688,1,-302.9471,288.5807,1
1688627679688,1,-302.9471,288.5807,2
1688627679711,1,-302.3353,287.0954,0
1688627679711,1,-302.3353,287.0954,1
1688627679711,1,-302.3353,287.0954,2
1688627679733,1,-300.3474,286.1545,0
1688627679733,1,-300.3474,286.1545,1
1688627679733,1,-300.3474,286.1545,2
1688627679754,1,-299.9451,284.8815,0
1688627679754,1,-299.9451,284.8815,1
1688627679754,1,-299.9451,284.8815,2
1688627679773,1,-296.4632,283.3611,0
1688627679773,1,-296.4632,283.3611,1
1688627679773,1,-296.4632,283.3611,2
1688627679796,1,-296.3035,282.5617,0
1688627679796,1,-296.3035,282.5617,1
1688627679796,1,-296.3035,282.5617,2
1688627679816,1,-295.9904,282.2673,0
1688627679816,1,-295.9904,282.2673,1
1688627679816,1,-295.9904,282.2673,2
1688627679838,1,-295.9825,282.3797,0
1688627679838,1,-295.9825,282.3797,1
1688627679838,1,-295.9825,282.3797,2
1688627679855,1,-295.6353,280.255,0
1688627679855,1,-295.6353,280.255,1
1688627679855,1,-295.6353,280.255,2
1688627679883,1,-293.5101,279.1931,0
1688627679883,1,-293.5101,279.1931,1
1688627679883,1,-293.5101,279.1931,2
1688627679905,1,-291.6209,280.8641,0
1688627679905,1,-291.6209,280.8641,1
1688627679905,1,-291.6209,280.8641,2
1688627679921,1,-298.0194,275.282,0
1688627679921,1,-298.0194,275.282,1
1688627679921,1,-298.0194,275.282,2
1688627679940,1,-321.7385,289.4654,0
1688627679940,1,-321.7385,289.4654,1
1688627679940,1,-321.7385,289.4654,2
1688627679963,1,-320.3483,286.4454,0
1688627679963,1,-320.3483,286.4454,1
1688627679963,1,-320.3483,286.4454,2
1688627679984,1,-318.5581,287.6749,0
1688627679984,1,-318.5581,287.6749,1
1688627679984,1,-318.5581,287.6749,2
1688627680004,1,-316.161,288.0939,0
1688627680004,1,-316.161,288.0939,1
1688627680004,1,-316.161,288.0939,2
1688627680023,1,-313.6119,288.2299,0
1688627680023,1,-313.6119,288.2299,1
1688627680023,1,-313.6119,288.2299,2
1688627680051,1,-312.7115,289.1286,0
1688627680051,1,-312.7115,289.1286,1
1688627680051,1,-312.7115,289.1286,2
1688627680069,1,-314.0677,286.4802,0
1688627680069,1,-314.0677,286.4802,1
1688627680069,1,-314.0677,286.4802,2
1688627680088,1,-311.8346,286.5545,0
1688627680088,1,-311.8346,286.5545,1
1688627680088,1,-311.8346,286.5545,2
1688627680106,1,-314.1977,279.0523,0
1688627680106,1,-314.1977,279.0523,1
1688627680106,1,-314.1977,279.0523,2
1688627680130,1,-315.1415,275.2872,0
1688627680130,1,-315.1415,275.2872,1
1688627680130,1,-315.1415,275.2872,2
1688627680150,1,-314.8154,275.5493,0
