timestamp,level,x,y,z,pitch,yaw,roll
1695264489588,0,-0.03,0.03,-0.03,358.60,357.86,1.63
1695264489617,0,-0.03,0.03,-0.03,358.60,357.74,1.76
1695264489647,0,-0.03,0.03,-0.03,358.61,357.71,1.80
1695264489677,0,-0.03,0.03,-0.03,358.62,357.73,1.84
1695264489706,0,-0.03,0.03,-0.03,358.65,357.83,1.95
1695264489734,0,-0.03,0.03,-0.03,358.74,358.07,2.08
1695264489762,0,-0.03,0.03,-0.03,358.86,358.35,2.40
1695264489790,0,-0.03,0.03,-0.03,359.03,358.54,2.55
1695264489818,0,-0.03,0.03,-0.03,359.17,358.62,2.67
1695264489846,0,-0.03,0.03,-0.03,359.19,358.60,2.59
1695264489874,0,-0.03,0.03,-0.03,359.33,358.64,2.32
1695264489902,0,-0.03,0.03,-0.03,359.46,358.69,1.84
1695264489930,0,-0.03,0.03,-0.03,359.46,358.80,1.52
1695264489958,0,-0.03,0.03,-0.03,359.42,358.97,1.26
1695264489986,0,-0.02,0.03,-0.03,359.38,359.17,1.11
1695264490014,0,-0.02,0.03,-0.03,359.41,359.31,1.14
1695264490042,0,-0.02,0.03,-0.03,359.54,359.33,1.31
1695264490071,0,-0.02,0.03,-0.03,359.66,359.32,1.79
1695264490100,0,-0.02,0.03,-0.03,359.59,359.23,2.10
1695264490129,0,-0.02,0.03,-0.03,359.55,359.22,1.97
1695264490158,0,-0.02,0.03,-0.03,359.59,359.20,1.93
1695264490188,0,-0.02,0.03,-0.03,359.77,359.19,1.90
1695264490217,0,-0.02,0.03,-0.03,0.13,359.22,1.95
1695264490245,0,-0.02,0.03,-0.03,0.49,359.32,1.92
1695264490273,0,-0.02,0.03,-0.03,0.65,359.41,1.97
1695264490301,0,-0.02,0.03,-0.03,0.73,359.50,1.99
1695264490328,0,-0.02,0.03,-0.03,0.91,359.63,2.02
1695264490356,0,-0.02,0.03,-0.03,0.96,359.69,1.95
1695264490384,0,-0.02,0.03,-0.03,0.89,359.77,1.84
1695264490413,0,-0.02,0.03,-0.03,0.62,359.91,1.60
1695264490444,0,-0.02,0.03,-0.03,0.34,0.06,1.33
1695264490473,0,-0.02,0.03,-0.04,359.98,0.26,1.12
1695264490501,0,-0.02,0.03,-0.04,359.44,0.46,0.91
1695264490529,0,-0.01,0.03,-0.04,358.77,0.72,0.63
1695264490557,0,-0.01,0.03,-0.04,358.23,0.99,0.35
1695264490584,0,-0.01,0.03,-0.04,357.82,1.31,0.05
1695264490612,0,-0.01,0.03,-0.04,357.43,1.68,359.75
1695264490639,0,-0.01,0.03,-0.04,357.11,2.05,359.46
1695264490666,0,-0.01,0.03,-0.04,356.86,2.46,359.16
1695264490694,0,-0.01,0.03,-0.04,356.58,2.88,358.85
1695264490722,0,-0.01,0.03,-0.04,356.28,3.33,358.54
1695264490750,0,-0.01,0.03,-0.04,355.96,3.82,358.25
1695264490779,0,-0.01,0.03,-0.04,355.73,4.32,357.99
1695264490808,0,0.00,0.03,-0.04,355.74,4.83,357.85
1695264490837,0,0.00,0.03,-0.04,356.11,5.29,357.84
1695264490866,0,0.00,0.03,-0.04,356.65,5.59,357.84
1695264490894,0,0.00,0.03,-0.04,357.08,5.73,357.85
1695264490922,0,0.00,0.03,-0.04,357.51,5.71,357.84
1695264490949,0,0.00,0.03,-0.04,357.77,5.49,357.85
1695264490977,0,0.00,0.03,-0.04,357.92,5.27,357.87
1695264491004,0,0.00,0.03,-0.03,357.94,5.00,357.93
1695264491033,0,0.00,0.03,-0.03,357.97,4.69,358.08
1695264491061,0,0.00,0.03,-0.03,358.04,4.23,358.54
1695264491090,0,-0.01,0.03,-0.03,357.95,3.52,359.01
1695264491122,0,-0.01,0.03,-0.03,357.73,2.70,359.50
1695264491156,0,-0.01,0.03,-0.03,357.57,1.79,359.98
1695264491184,0,-0.01,0.03,-0.03,357.51,0.80,0.43
1695264491212,0,-0.01,0.03,-0.03,357.55,0.10,0.80
1695264491241,0,-0.01,0.03,-0.03,357.68,359.50,1.14
1695264491269,0,-0.02,0.03,-0.03,357.93,359.04,1.35
1695264491298,0,-0.02,0.03,-0.03,358.35,358.74,1.57
1695264491326,0,-0.02,0.03,-0.03,358.76,358.60,1.74
1695264491355,0,-0.02,0.03,-0.03,359.16,358.55,1.87
1695264491383,0,-0.02,0.03,-0.03,359.52,358.65,1.96
1695264491411,0,-0.02,0.03,-0.03,359.79,358.75,1.98
1695264491438,0,-0.02,0.03,-0.03,0.11,358.91,1.99
1695264491466,0,-0.02,0.03,-0.03,0.38,359.05,1.95
1695264491494,0,-0.02,0.03,-0.03,0.63,359.25,2.06
1695264491522,0,-0.02,0.03,-0.03,0.86,359.43,2.07
1695264491552,0,-0.02,0.03,-0.03,1.05,359.62,1.90
1695264491581,0,-0.02,0.03,-0.03,1.24,359.79,1.64
1695264491610,0,-0.02,0.02,-0.03,1.38,359.94,1.44
1695264491640,0,-0.02,0.02,-0.03,1.36,0.10,1.28
1695264491669,0,-0.02,0.02,-0.03,1.23,0.32,1.08
1695264491697,0,-0.02,0.02,-0.03,1.12,0.52,1.00
1695264491725,0,-0.02,0.03,-0.03,1.12,0.63,1.01
1695264491755,0,-0.02,0.03,-0.03,1.17,0.73,1.00
1695264491782,0,-0.02,0.03,-0.03,1.22,0.78,1.02
1695264491810,0,-0.02,0.03,-0.03,1.25,0.79,1.03
1695264491838,0,-0.02,0.03,-0.03,1.32,0.76,1.06
1695264491867,0,-0.02,0.03,-0.03,1.42,0.60,1.08
1695264491896,0,-0.02,0.03,-0.03,1.41,0.08,1.13
1695264491924,0,-0.02,0.03,-0.03,1.25,359.55,1.22
1695264491955,0,-0.02,0.03,-0.03,1.08,359.03,1.40
1695264491984,0,-0.02,0.03,-0.03,1.03,358.55,1.67
1695264492011,0,-0.02,0.03,-0.03,1.16,358.27,1.92
1695264492040,0,-0.02,0.03,-0.03,1.44,358.13,2.20
1695264492068,0,-0.02,0.03,-0.02,1.70,358.09,2.46
1695264492096,0,-0.02,0.03,-0.02,1.91,358.13,2.57
1695264492124,0,-0.02,0.03,-0.02,2.04,358.17,2.64
1695264492152,0,-0.02,0.02,-0.02,2.05,358.19,2.63
1695264492179,0,-0.02,0.02,-0.02,2.08,358.22,2.60
1695264492207,0,-0.02,0.02,-0.02,2.13,358.27,2.58
1695264492236,0,-0.02,0.02,-0.02,2.20,358.32,2.56
1695264492267,0,-0.02,0.02,-0.02,2.30,358.35,2.54
1695264492296,0,-0.02,0.02,-0.02,2.54,358.39,2.49
1695264492326,0,-0.02,0.02,-0.02,2.71,358.37,2.45
1695264492355,0,-0.02,0.02,-0.02,2.83,358.36,2.43
1695264492384,0,-0.02,0.02,-0.02,2.91,358.34,2.36
1695264492412,0,-0.02,0.02,-0.02,2.97,358.34,2.28
1695264492444,0,-0.02,0.02,-0.02,3.00,358.35,2.22
1695264492477,0,-0.03,0.02,-0.02,3.01,358.39,2.13
1695264492511,0,-0.03,0.02,-0.02,3.01,358.43,2.09
1695264492544,0,-0.03,0.02,-0.01,3.02,358.49,2.07
1695264492572,0,-0.03,0.02,-0.01,3.07,358.53,2.06
1695264492600,0,-0.03,0.02,-0.01,3.18,358.54,2.05
1695264492629,0,-0.03,0.02,-0.01,3.34,358.52,2.02
1695264492656,0,-0.03,0.02,-0.01,3.49,358.51,2.01
1695264492684,0,-0.03,0.02,-0.01,3.63,358.50,2.02
1695264492710,0,-0.03,0.02,-0.01,3.74,358.50,2.01
1695264492738,0,-0.03,0.02,-0.01,3.82,358.49,2.00
1695264492766,0,-0.03,0.02,-0.01,3.92,358.48,1.98
1695264492795,0,-0.03,0.02,-0.01,4.04,358.47,1.94
1695264492825,0,-0.03,0.02,-0.01,4.16,358.46,1.89
1695264492856,0,-0.03,0.02,-0.01,4.28,358.47,1.85
1695264492888,0,-0.03,0.02,-0.01,4.40,358.50,1.80
1695264492922,0,-0.03,0.02,-0.01,4.51,358.56,1.72
1695264492952,0,-0.03,0.02,-0.01,4.59,358.62,1.69
1695264492978,0,-0.03,0.02,-0.01,4.60,358.68,1.63
1695264493007,0,-0.03,0.02,-0.01,4.53,358.74,1.56
1695264493034,0,-0.03,0.02,-0.01,4.42,358.79,1.54
1695264493063,0,-0.03,0.02,-0.01,4.31,358.84,1.49
1695264493091,0,-0.03,0.02,-0.01,4.24,358.88,1.48
1695264493121,0,-0.03,0.02,-0.01,4.21,358.92,1.49
1695264493150,0,-0.03,0.02,-0.01,4.22,358.96,1.50
1695264493178,0,-0.03,0.02,-0.01,4.28,358.99,1.50
1695264493207,0,-0.03,0.02,-0.01,4.36,359.01,1.49
1695264493235,0,-0.03,0.02,-0.01,4.43,359.02,1.51
1695264493266,0,-0.03,0.02,-0.01,4.49,359.01,1.49
1695264493295,0,-0.03,0.02,-0.01,4.55,358.99,1.44
1695264493324,0,-0.03,0.02,-0.01,4.59,358.98,1.37
1695264493355,0,-0.03,0.02,-0.01,4.64,359.00,1.31
1695264493383,0,-0.03,0.02,-0.01,4.69,359.04,1.26
1695264493411,0,-0.03,0.02,-0.01,4.70,359.10,1.27
1695264493439,0,-0.03,0.02,-0.01,4.67,359.15,1.25
1695264493468,0,-0.03,0.02,-0.01,4.65,359.21,1.24
1695264493496,0,-0.03,0.02,-0.01,4.70,359.28,1.25
1695264493524,0,-0.03,0.02,-0.01,4.76,359.36,1.26
1695264493555,0,-0.03,0.02,-0.01,4.85,359.46,1.31
1695264493584,0,-0.03,0.02,-0.01,4.94,359.62,1.42
1695264493612,0,-0.03,0.02,-0.01,5.09,359.78,1.52
1695264493640,0,-0.02,0.02,-0.01,5.16,359.89,1.56
1695264493669,0,-0.02,0.02,-0.01,5.15,0.00,1.54
1695264493697,0,-0.02,0.02,-0.01,5.18,0.07,1.41
1695264493726,0,-0.02,0.02,-0.01,5.21,0.04,1.27
1695264493754,0,-0.02,0.02,-0.01,5.21,0.00,1.13
1695264493783,0,-0.02,0.02,-0.02,5.15,359.98,1.04
1695264493812,0,-0.02,0.02,-0.02,5.10,0.00,1.03
1695264493844,0,-0.02,0.02,-0.02,4.99,0.07,1.04
1695264493872,0,-0.02,0.02,-0.02,4.76,0.26,1.15
1695264493901,0,-0.02,0.02,-0.02,4.60,0.45,1.23
1695264493929,0,-0.02,0.02,-0.02,4.51,0.63,1.30
1695264493957,0,-0.02,0.02,-0.02,4.44,0.78,1.35
1695264493985,0,-0.02,0.02,-0.02,4.39,0.91,1.34
1695264494013,0,-0.02,0.02,-0.02,4.38,1.01,1.37
1695264494040,0,-0.02,0.02,-0.02,4.44,1.11,1.38
1695264494069,0,-0.02,0.02,-0.02,4.63,1.23,1.39
1695264494100,0,-0.02,0.02,-0.02,4.80,1.27,1.31
1695264494129,0,-0.02,0.02,-0.02,4.98,1.25,1.31
1695264494158,0,-0.02,0.02,-0.02,5.17,1.15,1.20
1695264494188,0,-0.02,0.02,-0.02,5.41,1.00,1.09
1695264494217,0,-0.02,0.02,-0.02,5.70,0.82,0.95
1695264494245,0,-0.02,0.02,-0.02,5.75,0.69,0.89
1695264494274,0,-0.02,0.02,-0.02,5.75,0.62,0.87
1695264494304,0,-0.02,0.02,-0.02,5.78,0.56,0.81
1695264494333,0,-0.02,0.02,-0.02,5.82,0.54,0.77
1695264494367,0,-0.02,0.02,-0.02,5.85,0.57,0.74
1695264494401,0,-0.02,0.02,-0.02,5.88,0.65,0.69
1695264494433,0,-0.02,0.02,-0.02,5.87,0.76,0.65
1695264494467,0,-0.02,0.02,-0.02,5.86,0.84,0.60
1695264494500,0,-0.02,0.02,-0.02,5.87,0.94,0.54
1695264494528,0,-0.02,0.02,-0.02,5.87,1.00,0.50
1695264494555,0,-0.02,0.02,-0.02,5.87,1.06,0.45
1695264494584,0,-0.02,0.02,-0.02,5.86,1.10,0.40
1695264494612,0,-0.02,0.02,-0.02,5.82,1.14,0.37
1695264494639,0,-0.02,0.02,-0.02,5.80,1.17,0.34
1695264494668,0,-0.02,0.02,-0.02,5.78,1.20,0.32
1695264494696,0,-0.02,0.02,-0.02,5.74,1.22,0.34
1695264494725,0,-0.02,0.02,-0.02,5.70,1.23,0.44
1695264494754,0,-0.02,0.02,-0.02,5.71,1.19,0.55
1695264494782,0,-0.02,0.02,-0.02,5.74,1.08,0.65
1695264494810,0,-0.02,0.02,-0.02,5.76,0.95,0.73
1695264494839,0,-0.02,0.02,-0.02,5.77,0.79,0.76
1695264494869,0,-0.02,0.02,-0.02,5.79,0.70,0.73
1695264494899,0,-0.02,0.02,-0.02,5.82,0.62,0.68
1695264494933,0,-0.02,0.02,-0.02,5.85,0.59,0.66
1695264494967,0,-0.02,0.02,-0.02,5.86,0.59,0.62
1695264494999,0,-0.02,0.02,-0.02,5.85,0.62,0.60
1695264495029,0,-0.02,0.02,-0.02,5.84,0.65,0.59
1695264495058,0,-0.02,0.02,-0.02,5.82,0.66,0.58
1695264495088,0,-0.02,0.02,-0.02,5.80,0.66,0.58
1695264495117,0,-0.02,0.02,-0.02,5.78,0.66,0.56
1695264495144,0,-0.02,0.02,-0.02,5.76,0.67,0.55
1695264495172,0,-0.02,0.02,-0.02,5.74,0.69,0.55
1695264495201,0,-0.02,0.02,-0.02,5.72,0.72,0.56
1695264495229,0,-0.02,0.02,-0.02,5.67,0.74,0.56
1695264495258,0,-0.02,0.02,-0.02,5.59,0.76,0.57
1695264495285,0,-0.02,0.02,-0.02,5.50,0.76,0.57
1695264495314,0,-0.02,0.02,-0.02,5.42,0.75,0.58
1695264495344,0,-0.02,0.02,-0.02,5.34,0.72,0.58
1695264495373,0,-0.02,0.02,-0.02,5.26,0.69,0.59
1695264495401,0,-0.02,0.02,-0.02,5.22,0.65,0.59
1695264495434,0,-0.02,0.02,-0.02,5.18,0.62,0.58
1695264495461,0,-0.02,0.02,-0.02,5.14,0.62,0.56
1695264495489,0,-0.02,0.02,-0.03,5.11,0.64,0.55
